STUDENT ID,Student_Age,Sex,Graduated High-School Type,Scholarship Type,Additional Work,Sports Activity,Transportation,Weekly Study Hours,Attendance,Reading,Notes,Listening in Class,Project Work,Grade
S00055,23,Male,Public,Athletic,No,Yes,Bus,39,79.93,6,17,10,No,60
S00056,20,Female,Private,Need-based,Yes,No,Bike,28,58.6,37,47,62,No,38
S00057,24,Female,Public,Need-based,Yes,No,Bike,4,63.94,57,39,79,Yes,6
S00058,17,Male,Private,Merit-based,Yes,Yes,Bike,24,52.43,4,67,60,Yes,86
S00059,19,Male,Public,Athletic,Yes,Yes,Bus,9,82.27,60,95,55,Yes,25
S00060,21,Male,Public,None,No,Yes,Other,18,84.3,82,99,56,No,78
S00061,19,Female,Public,Merit-based,Yes,No,Walk,0,66.34,76,55,5,No,23
S00062,23,Male,Specialized,Merit-based,Yes,Yes,Walk,33,66.92,38,3,36,Yes,83
S00063,21,Male,Private,Athletic,No,Yes,Car,13,81.45,27,16,12,Yes,36
S00064,17,Male,Private,Athletic,No,Yes,Bus,24,97.28,56,51,96,Yes,87
S00065,23,Female,Specialized,Merit-based,No,Yes,Car,25,69.74,1,62,46,No,77
S00066,18,Male,Specialized,Athletic,No,No,Walk,20,74.68,69,41,71,No,95
S00067,20,Female,Specialized,Athletic,No,Yes,Car,15,84.91,78,32,74,No,98
S00068,17,Female,Private,Need-based,Yes,No,Bus,9,67.12,27,85,96,Yes,22
S00069,20,Male,Public,Athletic,Yes,Yes,Bus,31,93.44,36,17,63,Yes,32
S00070,22,Female,Specialized,Need-based,Yes,No,Bus,19,92.31,88,26,96,No,1
S00071,18,Female,Specialized,Merit-based,No,No,Walk,8,83.71,95,78,43,Yes,76
S00072,18,Male,Specialized,Merit-based,Yes,No,Bus,33,76.85,54,60,47,No,29
S00073,17,Female,Public,None,No,No,Bike,30,99.18,99,24,90,Yes,60
S00074,18,Male,Public,Athletic,No,Yes,Bike,18,85.12,93,60,17,No,97
S00075,21,Female,Specialized,Merit-based,Yes,No,Bus,30,82.16,87,9,44,No,74
S00076,18,Female,Public,Need-based,No,No,Bike,29,93.84,81,79,31,Yes,11
S00077,20,Male,Specialized,Merit-based,Yes,No,Bus,23,77.75,0,3,23,Yes,81
S00078,20,Male,Public,Athletic,No,No,Walk,32,62.15,2,30,85,Yes,83
S00079,23,Female,Private,None,Yes,No,Bike,17,56.89,70,31,49,No,48
S00080,20,Female,Private,None,No,Yes,Walk,20,73.55,96,23,58,Yes,76
S00081,23,Male,Public,Merit-based,No,No,Bike,30,75.78,84,58,2,No,5
S00082,20,Female,Private,None,No,No,Other,38,91.38,13,17,66,Yes,9
S00083,21,Female,Private,Athletic,Yes,No,Other,3,56.97,47,95,13,No,60
S00084,24,Female,Private,Athletic,No,No,Walk,25,84.06,36,91,95,No,96
S00085,23,Female,Specialized,None,Yes,No,Bike,32,65.21,2,74,72,Yes,49
S00086,19,Male,Public,Need-based,No,Yes,Other,32,96.95,48,71,15,Yes,62
S00087,22,Male,Public,None,Yes,Yes,Bus,19,73.52,55,64,88,Yes,3
S00088,17,Male,Public,None,No,Yes,Car,7,81.12,88,1,68,Yes,3
S00089,20,Male,Private,Merit-based,Yes,No,Other,35,82.51,59,20,61,No,36
S00090,18,Male,Specialized,Need-based,No,No,Other,7,54.55,96,82,76,Yes,75
S00091,24,Male,Public,None,No,Yes,Bus,30,92.61,12,41,58,Yes,68
S00092,20,Female,Private,Merit-based,No,No,Other,21,58.21,52,93,94,Yes,54
S00093,18,Male,Specialized,Merit-based,Yes,Yes,Other,18,69.87,49,24,20,No,88
S00094,22,Female,Specialized,Merit-based,No,No,Other,19,83.63,96,52,39,Yes,88
S00095,22,Female,Public,Athletic,No,No,Bike,22,52.76,92,8,60,No,32
S00096,22,Female,Public,Merit-based,No,No,Other,23,79.02,18,41,50,No,51
S00097,18,Male,Private,Merit-based,Yes,Yes,Car,23,70.5,25,27,72,No,62
S00098,20,Female,Public,Athletic,No,Yes,Bike,35,53.19,52,36,84,No,78
S00099,22,Male,Private,Athletic,Yes,Yes,Bike,8,86.32,56,60,72,No,83
S00100,21,Female,Specialized,Merit-based,Yes,Yes,Walk,39,75.07,37,58,9,Yes,75
S00101,23,Female,Specialized,None,No,Yes,Other,15,65.17,8,31,40,Yes,77
S00102,18,Male,Specialized,Need-based,No,Yes,Car,26,54.22,45,40,11,No,21
S00103,18,Female,Specialized,Athletic,Yes,No,Car,36,77.37,93,74,74,Yes,87
S00104,20,Female,Public,Need-based,Yes,Yes,Walk,12,65.3,85,84,83,Yes,75
S00105,18,Female,Public,Athletic,No,Yes,Car,1,97.33,3,23,63,Yes,83
S00106,18,Female,Private,Merit-based,Yes,Yes,Bike,11,79.58,70,64,38,No,91
S00107,22,Male,Private,Athletic,Yes,Yes,Bus,32,64.25,81,79,96,Yes,55
S00108,20,Female,Private,Merit-based,No,No,Bike,22,76.43,49,87,63,Yes,74
S00109,22,Female,Private,Need-based,No,Yes,Bus,13,76.97,69,9,70,Yes,85
S00110,23,Male,Private,None,Yes,Yes,Car,38,86.34,92,95,0,Yes,96
S00111,24,Female,Specialized,Merit-based,Yes,Yes,Other,29,95.11,4,91,13,Yes,57
S00112,23,Female,Specialized,Need-based,No,Yes,Bus,33,98.13,69,49,44,No,77
S00113,24,Female,Specialized,Need-based,Yes,No,Bike,8,85.89,33,96,20,No,76
S00114,22,Female,Private,Athletic,Yes,No,Bike,14,77.3,97,62,44,Yes,24
S00115,23,Male,Specialized,Merit-based,No,No,Bike,23,61.25,64,85,71,No,79
S00116,20,Female,Specialized,Need-based,Yes,Yes,Bike,24,70.15,17,64,80,No,93
S00117,17,Male,Specialized,None,Yes,Yes,Walk,35,74.44,26,98,61,No,0
S00118,22,Female,Specialized,Athletic,Yes,Yes,Car,31,56.42,9,57,44,Yes,27
S00119,24,Female,Public,Athletic,Yes,No,Other,20,62.82,1,75,53,No,94
S00120,21,Female,Private,Need-based,No,No,Walk,38,99.22,82,45,78,Yes,99
S00121,24,Male,Private,Merit-based,Yes,Yes,Car,5,87.83,90,88,1,Yes,47
S00122,21,Female,Public,Athletic,Yes,Yes,Bus,24,74.1,60,27,12,No,65
S00123,18,Female,Specialized,Merit-based,No,Yes,Walk,1,61.3,21,80,28,Yes,54
S00124,23,Male,Specialized,Need-based,Yes,No,Walk,30,78.67,9,79,27,Yes,1
S00125,21,Male,Specialized,Need-based,Yes,Yes,Walk,29,61.59,58,95,7,Yes,32
S00126,24,Male,Private,Merit-based,No,No,Walk,14,59.66,90,58,34,No,48
S00127,18,Male,Private,None,Yes,No,Bus,17,54.69,11,3,23,Yes,35
S00128,17,Female,Private,Athletic,Yes,No,Bike,31,67.29,62,40,6,No,29
S00129,20,Female,Private,Need-based,Yes,No,Walk,13,77.09,14,59,27,No,97
S00130,20,Female,Private,None,Yes,Yes,Car,17,57.97,62,61,85,No,17
S00131,20,Female,Public,None,Yes,No,Bike,34,60.02,64,10,89,Yes,35
S00132,21,Male,Private,Merit-based,Yes,Yes,Bus,21,69.56,37,19,80,Yes,23
S00133,17,Female,Specialized,Merit-based,Yes,No,Other,13,74.48,87,89,62,Yes,0
S00134,21,Female,Private,Merit-based,No,Yes,Bus,37,88.11,5,6,5,No,45
S00135,23,Female,Public,None,No,No,Other,13,78.33,92,94,10,No,23
S00136,21,Female,Specialized,Athletic,No,No,Car,33,80.89,5,61,37,No,20
S00137,17,Male,Public,Merit-based,Yes,No,Other,21,84.81,37,6,65,Yes,28
S00138,17,Female,Specialized,Athletic,No,Yes,Walk,15,72.55,47,63,62,No,76
S00139,23,Female,Private,Merit-based,No,No,Bike,15,67.16,14,57,31,No,63
S00140,17,Female,Public,None,No,No,Bike,15,90.02,71,3,25,Yes,9
S00141,24,Male,Specialized,Athletic,No,No,Walk,39,91.42,28,71,94,Yes,12
S00142,17,Male,Private,Athletic,Yes,No,Bike,37,57.7,1,13,31,No,10
S00143,20,Female,Specialized,None,Yes,Yes,Bus,17,97.67,74,85,34,No,57
S00144,24,Female,Public,Athletic,Yes,Yes,Walk,22,96.5,72,22,1,Yes,5
S00145,24,Female,Public,None,No,Yes,Walk,39,93.54,15,88,2,Yes,50
S00146,23,Male,Public,None,Yes,Yes,Bike,17,71.13,57,35,32,No,9
S00147,19,Female,Public,Need-based,No,No,Other,21,92.11,87,89,6,Yes,63
S00148,19,Female,Private,Merit-based,Yes,No,Car,39,81.4,33,23,84,Yes,76
S00149,17,Female,Specialized,Need-based,Yes,No,Other,29,60.27,42,81,47,Yes,34
S00150,24,Male,Private,None,No,Yes,Bus,17,88.74,23,20,88,No,85
S00151,19,Female,Public,None,No,No,Walk,17,70.3,24,62,79,No,16
S00152,19,Female,Specialized,Athletic,Yes,Yes,Walk,0,64.61,40,46,22,Yes,2
S00153,17,Male,Public,None,Yes,Yes,Bus,14,93.91,32,68,80,No,29
S00154,19,Male,Private,None,Yes,Yes,Car,4,93.11,42,14,96,No,97
S00155,21,Female,Private,None,No,No,Walk,26,93.22,16,30,81,No,26
S00156,18,Male,Private,Merit-based,No,No,Other,16,92.98,6,89,86,No,44
S00157,23,Female,Specialized,Need-based,No,No,Bus,31,77.71,58,3,8,Yes,3
S00158,18,Male,Specialized,Need-based,No,Yes,Walk,37,80.85,26,3,66,Yes,32
S00159,17,Male,Public,Merit-based,Yes,No,Other,25,97.44,35,43,47,Yes,42
S00160,20,Female,Specialized,Merit-based,No,No,Bus,1,56.47,18,60,34,Yes,30
S00161,23,Female,Specialized,Merit-based,No,Yes,Bus,27,90.31,14,62,61,Yes,18
S00162,17,Female,Private,Need-based,No,No,Bus,22,76.31,69,82,23,No,10
S00163,24,Male,Public,Need-based,Yes,No,Car,19,98.92,56,25,69,No,36
S00164,20,Female,Private,None,Yes,Yes,Bus,35,81.96,99,49,82,No,78
S00165,18,Female,Public,Need-based,No,Yes,Bike,21,58.13,68,32,77,Yes,83
S00166,17,Female,Public,Athletic,No,No,Bike,10,90.77,52,3,2,Yes,60
S00167,24,Female,Specialized,Need-based,Yes,Yes,Bus,27,83.63,68,56,5,Yes,71
S00168,23,Female,Private,Merit-based,Yes,No,Walk,21,57.45,1,61,80,No,1
S00169,23,Male,Specialized,Need-based,No,No,Bike,16,50.45,17,87,35,Yes,49
S00170,22,Female,Specialized,None,Yes,Yes,Other,30,77.18,31,94,85,No,26
S00171,24,Female,Specialized,Need-based,No,Yes,Other,10,62.07,28,33,52,No,49
S00172,21,Male,Public,Merit-based,Yes,Yes,Walk,35,93.36,48,33,3,No,77
S00173,19,Female,Private,Athletic,No,Yes,Other,13,62.55,83,1,9,No,23
S00174,20,Female,Private,Merit-based,No,No,Walk,34,83.14,82,42,95,Yes,98
S00175,24,Female,Specialized,Athletic,No,Yes,Other,22,67.26,79,71,48,No,27
S00176,22,Female,Public,None,No,Yes,Bus,28,67.52,74,48,42,No,55
S00177,19,Female,Private,None,Yes,Yes,Other,22,59.09,59,20,67,No,33
S00178,19,Male,Private,Need-based,Yes,Yes,Bus,35,75.14,27,11,12,No,80
S00179,17,Male,Specialized,None,No,No,Other,15,78.96,85,35,82,No,32
S00180,19,Male,Public,None,Yes,Yes,Other,38,79.05,26,0,42,No,22
S00181,21,Female,Specialized,Merit-based,No,Yes,Other,19,92.83,80,41,47,No,7
S00182,23,Male,Private,Merit-based,Yes,No,Bus,24,82.62,7,15,89,Yes,32
S00183,22,Female,Public,Need-based,No,Yes,Other,18,87.01,71,48,29,No,63
S00184,19,Female,Specialized,Need-based,Yes,No,Other,25,66.17,22,5,42,Yes,18
S00185,17,Female,Private,Need-based,Yes,No,Car,31,71.03,31,96,30,Yes,11
S00186,21,Male,Specialized,Need-based,Yes,No,Bus,20,50.91,14,12,50,Yes,3
S00187,18,Male,Specialized,Merit-based,Yes,No,Bike,8,53.96,90,44,37,Yes,94
S00188,23,Male,Specialized,Need-based,No,Yes,Walk,18,69.26,67,8,75,No,62
S00189,23,Female,Public,Need-based,No,No,Car,20,60.49,39,98,18,Yes,43
S00190,22,Male,Private,None,Yes,Yes,Other,17,90.65,95,27,22,No,20
S00191,23,Female,Private,Need-based,Yes,No,Bike,5,83.82,56,63,49,Yes,11
S00192,19,Male,Private,Athletic,Yes,No,Bike,34,98.52,46,33,45,Yes,70
S00193,17,Male,Private,None,Yes,Yes,Other,13,94.35,9,31,40,Yes,17
S00194,23,Female,Public,Merit-based,No,Yes,Other,8,98.88,55,64,73,No,38
S00195,23,Female,Specialized,Athletic,Yes,No,Car,34,68.26,91,88,78,No,74
S00196,18,Male,Private,Need-based,Yes,Yes,Bus,1,74.22,51,51,16,No,32
S00197,18,Male,Public,None,Yes,No,Car,5,68.63,95,73,51,Yes,85
S00198,20,Male,Specialized,Need-based,Yes,Yes,Bus,34,98.22,95,65,12,Yes,71
S00199,21,Female,Public,None,Yes,No,Bike,24,70.14,62,3,23,Yes,38
S00200,19,Female,Public,Need-based,Yes,Yes,Walk,8,55.84,50,24,79,Yes,30
S00201,23,Male,Private,Athletic,Yes,Yes,Other,30,62.53,78,79,29,No,26
S00202,24,Male,Private,Merit-based,Yes,No,Car,6,71.24,69,62,43,Yes,91
S00203,23,Female,Specialized,Athletic,No,No,Bike,27,80.15,8,39,14,Yes,86
S00204,17,Male,Specialized,Athletic,Yes,No,Car,1,80.9,93,68,3,Yes,40
S00205,20,Female,Private,Merit-based,Yes,Yes,Bus,0,87.94,40,55,51,No,26
S00206,21,Female,Public,None,Yes,Yes,Other,36,82.39,39,22,73,No,9
S00207,24,Female,Private,None,Yes,No,Bus,23,74.58,15,83,45,Yes,22
S00208,20,Female,Specialized,Merit-based,No,Yes,Bus,34,51.51,24,2,58,No,32
S00209,22,Female,Public,Need-based,Yes,No,Bus,6,84.75,9,64,45,No,25
S00210,21,Female,Public,None,No,Yes,Bike,37,54.27,29,50,31,Yes,76
S00211,23,Male,Public,Athletic,No,Yes,Other,28,73.44,8,24,20,No,30
S00212,23,Female,Private,Merit-based,No,Yes,Walk,0,94.82,39,79,28,Yes,26
S00213,21,Female,Private,Athletic,No,No,Car,29,79.84,56,40,29,No,12
S00214,23,Male,Specialized,None,Yes,Yes,Bus,31,59.95,45,4,6,No,47
S00215,19,Female,Public,Merit-based,No,Yes,Other,9,90.4,6,99,41,Yes,54
S00216,21,Male,Public,Merit-based,No,Yes,Car,33,65.02,42,63,92,Yes,57
S00217,20,Female,Private,None,Yes,Yes,Other,10,78.86,47,5,73,No,46
S00218,21,Male,Specialized,None,No,No,Car,36,81.79,75,75,49,Yes,97
S00219,24,Male,Specialized,Merit-based,No,Yes,Other,26,86.56,56,45,85,Yes,46
S00220,23,Female,Public,Need-based,No,Yes,Walk,9,53.25,16,22,16,No,70
S00221,19,Female,Private,Merit-based,No,Yes,Other,37,92.71,24,37,17,No,43
S00222,19,Female,Public,Need-based,Yes,Yes,Other,21,55.69,6,4,4,Yes,75
S00223,22,Female,Private,Athletic,No,No,Bus,23,54.73,54,60,60,Yes,4
S00224,20,Male,Specialized,Need-based,Yes,Yes,Bus,7,72.84,18,1,38,No,5
S00225,18,Male,Public,Need-based,Yes,Yes,Bus,5,68.61,80,2,80,No,89
S00226,18,Male,Public,None,Yes,Yes,Other,3,52.73,31,6,97,Yes,18
S00227,21,Female,Public,Merit-based,No,Yes,Walk,4,58.3,86,89,67,No,78
S00228,22,Male,Specialized,Athletic,No,No,Car,5,71.96,31,75,40,No,8
S00229,17,Female,Public,Merit-based,Yes,Yes,Bus,31,91.45,25,49,71,No,76
S00230,21,Female,Specialized,Need-based,Yes,Yes,Bike,37,56.07,71,59,25,No,34
S00231,22,Male,Private,Need-based,Yes,No,Other,19,55.23,21,64,88,No,33
S00232,20,Female,Specialized,Need-based,Yes,Yes,Walk,39,90.24,54,64,99,Yes,62
S00233,20,Male,Private,Merit-based,Yes,No,Walk,35,74.62,56,96,38,Yes,97
S00234,20,Female,Specialized,Need-based,Yes,Yes,Bus,13,68.01,7,61,74,Yes,92
S00235,20,Male,Specialized,Merit-based,No,Yes,Bus,18,73.07,45,53,66,No,26
S00236,20,Female,Public,Athletic,No,Yes,Bike,10,70.54,4,52,43,Yes,45
S00237,22,Male,Specialized,Athletic,No,Yes,Bike,38,89.09,11,8,63,Yes,44
S00238,22,Male,Public,Merit-based,Yes,Yes,Bus,0,50.47,26,0,91,Yes,11
S00239,19,Female,Private,Athletic,No,Yes,Car,34,71.66,83,14,38,No,38
S00240,24,Female,Private,None,Yes,Yes,Bus,18,57.94,10,88,55,Yes,1
S00241,18,Male,Public,Need-based,Yes,Yes,Bus,32,65.41,35,35,88,No,46
S00242,23,Female,Private,Need-based,No,Yes,Walk,31,55.61,51,9,85,No,99
S00243,20,Female,Specialized,Need-based,Yes,Yes,Bus,35,71.35,1,49,12,No,52
S00244,17,Female,Public,None,No,Yes,Bus,23,82.16,73,30,3,Yes,81
S00245,23,Male,Public,Need-based,No,Yes,Bus,6,83.08,70,83,27,Yes,5
S00246,22,Male,Public,Merit-based,No,No,Car,6,89.84,11,68,82,Yes,93
S00247,17,Female,Private,Need-based,Yes,Yes,Walk,4,90.75,54,91,2,Yes,84
S00248,17,Female,Private,Merit-based,Yes,No,Other,13,79.89,79,97,26,Yes,55
S00249,17,Male,Specialized,Athletic,Yes,No,Other,25,67.66,30,15,60,Yes,21
S00250,19,Female,Specialized,Merit-based,No,Yes,Other,0,52.57,90,78,74,Yes,10
S00251,22,Male,Public,Merit-based,Yes,No,Other,12,51.79,31,41,5,Yes,39
S00252,17,Female,Specialized,Merit-based,No,Yes,Walk,22,55.66,63,25,47,Yes,41
S00253,20,Female,Private,Need-based,Yes,Yes,Bus,19,99.19,90,29,94,No,6
S00254,21,Female,Specialized,None,No,No,Other,6,89.3,58,1,55,No,70
S00255,17,Male,Private,None,No,No,Bus,5,70.24,24,66,28,Yes,30
S00256,19,Male,Specialized,Merit-based,Yes,No,Other,8,73.31,68,82,71,No,55
S00257,23,Male,Private,Need-based,Yes,Yes,Car,27,86.87,67,55,74,Yes,69
S00258,22,Male,Private,None,No,No,Bus,9,75.72,43,23,72,Yes,89
S00259,24,Female,Specialized,Athletic,No,No,Walk,34,68.02,42,66,30,No,35
S00260,19,Female,Specialized,Athletic,Yes,No,Car,6,67.48,14,39,64,No,72
S00261,17,Male,Private,Need-based,No,Yes,Car,24,60.48,12,62,70,No,35
S00262,22,Female,Public,Athletic,Yes,Yes,Walk,29,94.28,96,68,73,No,2
S00263,21,Female,Specialized,Athletic,Yes,No,Car,25,70.71,68,58,8,Yes,56
S00264,17,Male,Private,Athletic,No,No,Bus,11,87.62,69,95,62,Yes,30
S00265,19,Female,Specialized,None,Yes,No,Bike,12,78.69,44,60,76,No,63
S00266,18,Female,Specialized,Athletic,No,No,Bike,39,87.7,24,51,26,No,29
S00267,20,Male,Specialized,Merit-based,Yes,No,Other,3,66.05,24,94,17,Yes,94
S00268,24,Female,Specialized,Merit-based,No,No,Other,0,87.6,9,75,15,No,42
S00269,23,Female,Specialized,Athletic,Yes,No,Bus,5,89.5,61,35,3,No,39
S00270,19,Female,Public,Merit-based,Yes,Yes,Walk,1,55.21,11,99,93,Yes,93
S00271,22,Male,Public,None,No,No,Bus,26,54.57,66,30,37,No,72
S00272,24,Male,Public,Need-based,Yes,No,Other,17,99.27,28,96,19,Yes,5
S00273,24,Female,Private,Merit-based,No,Yes,Car,28,55.9,92,6,40,Yes,24
S00274,24,Female,Public,Athletic,No,No,Bus,32,84.24,42,89,57,Yes,93
S00275,17,Female,Public,Need-based,No,Yes,Bus,2,87.39,87,89,75,No,25
S00276,20,Male,Private,Need-based,No,No,Walk,19,53.18,87,19,27,No,66
S00277,17,Male,Public,Athletic,No,Yes,Other,3,87.33,88,97,43,Yes,21
S00278,22,Male,Specialized,Merit-based,Yes,No,Bus,17,70.98,36,32,64,No,41
S00279,17,Female,Public,None,Yes,No,Car,7,63.73,68,82,8,Yes,44
S00280,18,Female,Public,Merit-based,Yes,Yes,Car,21,83.27,10,16,32,No,72
S00281,20,Female,Public,Merit-based,Yes,Yes,Bike,21,91.66,39,5,64,No,98
S00282,20,Female,Specialized,None,Yes,Yes,Other,18,78.64,62,85,8,Yes,6
S00283,22,Female,Specialized,Need-based,Yes,No,Car,27,93.53,21,80,85,Yes,36
S00284,23,Male,Specialized,None,Yes,No,Walk,1,51.12,14,19,61,Yes,72
S00285,18,Female,Specialized,None,No,No,Other,8,86.93,8,41,72,Yes,90
S00286,19,Female,Private,Athletic,No,No,Car,34,58.47,69,62,68,No,27
S00287,17,Female,Specialized,Athletic,No,No,Bus,21,64.3,63,40,1,Yes,96
S00288,21,Male,Specialized,Merit-based,Yes,Yes,Other,25,78.61,89,89,77,No,62
S00289,17,Female,Specialized,Athletic,No,No,Car,33,63.72,5,91,75,No,60
S00290,24,Male,Specialized,None,Yes,Yes,Bus,6,58.41,95,71,28,No,49
S00291,17,Male,Private,None,Yes,Yes,Bike,29,94.27,42,6,79,Yes,5
S00292,19,Male,Public,Athletic,Yes,No,Other,24,95.34,19,70,47,No,80
S00293,17,Male,Public,Athletic,No,No,Other,8,51.82,98,28,72,No,63
S00294,18,Male,Specialized,Athletic,No,Yes,Car,26,75.01,42,66,50,No,86
S00295,18,Female,Specialized,None,No,No,Bike,0,60.18,61,15,31,No,88
S00296,20,Female,Specialized,Need-based,Yes,Yes,Walk,32,93.17,66,76,23,No,82
S00297,22,Male,Public,Need-based,Yes,No,Car,7,73.13,81,49,57,No,28
S00298,23,Male,Public,Athletic,Yes,Yes,Car,31,73.92,98,81,19,No,30
S00299,21,Male,Specialized,Merit-based,Yes,No,Walk,39,81.37,51,43,83,No,5
S00300,24,Female,Public,Merit-based,No,No,Walk,18,52.78,73,76,42,No,62
S00301,17,Female,Private,Need-based,No,No,Walk,35,56.36,99,30,4,No,33
S00302,17,Male,Specialized,Athletic,No,Yes,Walk,21,74.92,93,66,83,No,23
S00303,19,Female,Specialized,None,No,No,Walk,38,98.34,25,93,79,No,57
S00304,22,Female,Private,Merit-based,Yes,Yes,Bus,25,92.18,93,2,18,No,73
S00305,18,Male,Private,Merit-based,Yes,No,Bus,2,94.47,30,89,75,No,58
S00306,21,Male,Public,None,No,No,Walk,8,56.86,54,65,80,No,74
S00307,20,Female,Private,None,Yes,Yes,Bike,34,97.93,67,97,97,Yes,23
S00308,18,Female,Specialized,Athletic,Yes,Yes,Bike,6,86.5,56,76,26,No,61
S00309,24,Female,Public,None,No,Yes,Walk,14,66.28,23,74,40,No,1
S00310,22,Male,Private,None,No,No,Bus,3,93.22,64,6,89,Yes,49
S00311,24,Male,Public,None,Yes,No,Bike,36,87.37,25,26,33,Yes,92
S00312,23,Male,Public,Need-based,No,No,Bus,27,86.83,48,6,20,No,79
S00313,20,Female,Public,None,No,No,Car,8,86.73,92,7,41,Yes,86
S00314,23,Female,Public,Merit-based,No,No,Bus,34,90.04,37,99,66,No,34
